AWC_CODE,StreamName,Shape_Leng,Latitude,Longitude
115-10-10300,*Boundary Creek,1198.672103,58.54312134,-135.1755066
112-21-10080, ,595.233194,57.34065247,-135.0798798
111-21-10530, ,1879.954083,57.71815872,-133.4047241
101-71-10260,Walker Creek,1649.900814,55.75314713,-130.7024384
109-52-10040, ,1078.008865,56.66443634,-134.2684631
101-47-10150,Ward Creek,5730.115014,55.40853119,-131.713089
110-14-10090, ,3391.946853,57.13694,-133.1361694
105-32-10800, ,1899.887944,56.56348419,-133.9198914
103-80-10430, ,632.8443664,55.69397736,-133.3548279
112-65-10110,*Empire Creek,581.8130939,58.16832352,-134.7687225
101-90-10590,*Kline Creek,609.2411776,55.56447601,-131.651123
101-60-10150,Rudyerd Creek,1898.852817,55.66242599,-130.6397552
113-95-10050-2006, ,249.5082365,57.85889816,-136.0643311
112-21-10010, ,327.7893976,57.26247787,-134.8960571
101-23-10940, ,1694.144373,55.10918045,-131.3831787
113-55-10030, ,589.3683767,57.63204193,-135.4762115
113-57-10030, ,937.0004271,57.64487076,-135.7965851
112-11-10127, ,1600.906787,57.30685043,-134.8144073
111-50-10070-2003, ,660.5648705,58.52797318,-134.8227081
113-94-10010, ,1335.121741,58.07203293,-136.5465851
106-30-10820,Squaw Creek,865.6684463,56.13080978,-133.0886688
113-54-10090, ,1066.802405,57.4523735,-135.4205933
103-25-10050,Saltery Creek,4658.510085,55.19492722,-132.7939453
113-22-10300-2004, ,424.0401344,56.58301163,-135.0384369
113-22-10040, ,1051.805823,56.61242294,-135.0642242
104-30-10370, ,848.7836047,55.18993378,-133.163147
113-43-10050,Liza Creek,1897.2687,57.19628906,-135.3766327
110-32-10090-2018, ,1641.96677,57.49902725,-133.2860718
113-55-10200, ,1606.876478,57.64779282,-135.6144104
109-30-10080, ,2833.857,57.16242599,-134.3545685
113-41-10415, ,2390.416629,56.9683075,-135.3800049
103-60-10850, ,1106.40466,55.34230804,-133.0400848
105-32-10120,Irish Creek,10823.85192,56.72075653,-133.7065582
115-10-10460-2004, ,491.0135953,58.65605927,-135.264679
115-32-10250-2077-3046,*29 Mile Creek,919.1054113,59.42133331,-136.01474
101-43-10290,Pop Creek,1974.895729,55.40958023,-131.2359467
102-30-10430-2022, ,228.6393817,54.93438339,-132.2157898
114-25-10380,*Homestead Creek,4255.376523,58.23218536,-135.1014862
106-30-10850,Exchange Creek,5329.904426,56.18952942,-133.0773621
112-11-10030, ,1223.862571,57.07050705,-134.7942505
113-62-10040, ,2797.38719,57.24045563,-135.6472168
109-10-10165, ,434.0954577,56.4432373,-134.7444916
109-42-10300-2010, ,1654.072014,56.75383759,-134.0431366
114-75-10960, ,2312.178273,58.84748077,-136.4945068
109-62-10130-2004, ,2342.358713,56.51210785,-134.0584564
114-32-10040,Seagull Creek,6205.389631,58.01164246,-135.5694885
113-51-10047, ,666.593077,57.46451569,-135.0756836
113-45-10120, ,733.0125804,57.08208084,-135.845108
113-31-10050, ,2063.562759,56.79240799,-135.2628174
112-50-10380,Seal Creek,3265.128929,57.9332428,-135.1519928
101-80-10200-2001, ,782.7007564,55.84350586,-131.4355316
113-41-10270, ,207.7222275,57.01753235,-135.1644135
108-40-10150-2029-3050, ,1741.575151,56.72797394,-132.1256256
110-23-10040,*Last Chance Creek,1689.961738,57.5305748,-133.9573059
114-72-10130,*North Fingers Stream,975.292538,58.5815506,-136.2172852
109-20-10220, ,189.6945537,56.94805527,-134.7443695
103-50-10510, ,1446.025125,55.31350708,-133.3084717
107-30-10700,Olive Creek,2584.254747,56.17902756,-132.3261414
115-20-10300,Antler River,9630.921131,58.8082695,-134.9624939
112-11-10150, ,6523.903449,57.38331985,-134.8368225
112-21-10092, ,1315.205092,57.37861633,-134.9714203
106-41-10550,Totem Creek,9013.753156,56.50466537,-133.4400177
103-30-10460, ,1587.767809,54.95193481,-132.9814301
112-12-10500,Wukuklook Creek,6794.565582,57.91894913,-134.9394073
114-31-10130-2003, ,3235.005489,58.07612991,-135.4803009
106-30-10670-2004-3010,Galligan Creek,6315.341703,55.98095322,-132.9679413
103-50-10380, ,699.6709882,55.24766922,-133.1685791
113-62-10070, ,992.3150684,57.29766083,-135.6929474
101-23-10050,*Sandy Creek,1910.766392,55.11468124,-131.0389099
102-70-10550-2002,Whale Creek,46.42994147,55.66872787,-132.5334015
103-25-10470,Hetta Creek,790.2968022,55.17144012,-132.5794983
112-71-10240,Narrows Creek,908.1826525,57.36958694,-134.4361877
113-57-10080, ,1505.30142,57.68703079,-135.7437592
112-16-10300-2005, ,1813.404852,58.00006104,-134.7675323
115-32-10250-2023-3012, ,357.9627996,59.27164841,-135.6779633
109-42-10100,Hamilton Creek,26126.94814,56.89408493,-133.7417908
113-57-10050-2003-3006, ,1132.097178,57.64846039,-135.8931122
112-21-10100, ,4013.80264,57.3111763,-134.8391266
113-44-10030-2005, ,436.3224418,57.17041779,-135.2726593
101-71-10040-2015-3005, ,490.3519848,55.95855331,-130.792038
103-40-10730, ,899.8090529,55.09609604,-133.0963898
113-21-10080, ,531.9042567,56.44478607,-134.9842682
113-54-10040, ,1539.380502,57.46455383,-135.2897491
101-51-10900,Ella Creek,1728.511048,55.49595642,-130.9937134
105-42-10120, ,1768.963853,56.14600372,-133.3498535
114-33-10190, ,870.2022952,58.03729248,-135.7635803
109-43-10050, ,378.8927346,56.62937546,-133.9693298
105-42-10090,El Capitan Creek,3892.953429,56.1618309,-133.3437195
102-40-10490, ,654.3735744,55.19638824,-132.3436279
113-21-10030-2001, ,213.281883,56.49122238,-134.9790192
106-10-10040,Sal Creek,4283.540175,55.81185913,-132.5074005
106-30-10670-2004-3030,Logjam Creek,1893.783694,55.93255234,-132.9824219
101-11-10290,*Twin Creek Left Fork,1028.790472,54.93848038,-130.7599182
111-50-10500-2003-3060-4011, ,1464.787084,58.44393539,-134.6406555
103-90-10260,Naukati Creek,5406.728874,55.88558578,-133.1501617
103-90-10650, ,1154.879011,56.04741669,-133.4837646
111-50-10420-2008,*Lake Two Creek,147.83412,58.38579941,-134.6457214
102-50-10280, ,386.0755055,55.32256317,-132.1571198
114-31-10080-2001,*Shotter Creek,805.9159815,58.09896469,-135.4235229
110-22-10060, ,2208.89556,57.39543152,-134.191864
102-70-10550-2002,Whale Creek,72.12958903,55.66911697,-132.5325012
109-30-10260-2011, ,499.3620825,57.27546692,-134.2119598
112-11-10080,Takatz Creek,823.4543506,57.13761139,-134.8619537
103-80-10100, ,1122.196949,55.70035553,-133.5202484
112-48-10350, ,2910.820025,57.99451065,-135.8796692
115-20-10030,Slate Creek,1617.655109,58.78580475,-135.029953
113-44-10010, ,721.2754289,57.1873703,-135.3688965
114-77-10890,Stonefly Creek,341.2243899,58.96022797,-136.3612366
113-44-100502-2010, ,428.4691383,57.16447067,-135.2728119
101-75-10150-2002, ,8312.673233,56.08791351,-131.0931702
112-42-10250-2004,Hook Creek,5461.197276,57.69410324,-135.2182617
109-63-10010, ,841.5010965,56.30669403,-134.2467346
113-54-10100-2006, ,1154.168024,57.45461655,-135.4234467
104-20-10100,*Manhattan Creek,477.7779078,55.09870148,-133.1441345
115-32-10250-2077-3046,*29 Mile Creek,919.1054113,59.42133331,-136.01474
113-51-10060, ,637.9281111,57.4634552,-134.9732819
107-40-10537-2008,*Tailrace Creek,281.9782378,56.21821213,-131.4923553
113-58-10080, ,438.4156504,57.7276535,-135.7068481
113-45-10060-2005, ,7137.647688,57.16973114,-135.7314606
113-44-10030-2013, ,2889.613579,57.16686249,-135.1632233
112-21-10070, ,287.7827072,57.33663559,-135.0727844
110-32-10120, ,1333.609194,57.57605743,-133.4611816
101-30-10930, ,1402.681362,55.05434036,-130.7858429
111-41-10190, ,177.0900906,58.16954041,-134.7030182
105-43-10020,Shipley Bay Lk Creek,1045.744804,56.0896492,-133.505127
111-17-10100,King Salmon River,8810.96105,58.04264832,-134.3406982
115-32-10250-2077-3136,*37 Mile Creek,4888.630221,59.43801117,-136.2618256
102-50-10210, ,819.4840875,55.29004288,-132.174881
103-50-10290,Waterfall Creek S,814.0967201,55.30475235,-133.2323151
103-90-10630, ,944.5409864,55.99056244,-133.5384064
113-33-10060, ,1081.749445,56.76756668,-135.133606
101-90-10780,*Gold Standard Creek,1115.141529,55.65211868,-131.996933
113-45-10060,*Shelikof Creek,3677.904626,57.15923691,-135.7490082
101-11-10880, ,956.5151967,54.81575012,-130.5701752
108-50-10030,Big Creek,6717.505605,56.70236588,-132.713562
110-15-10050,*Bay Point Creek,1344.234278,57.1237793,-133.3585968
113-22-10030, ,453.6952313,56.6073761,-135.0792999
101-11-10047, ,249.1054164,54.80384064,-130.9168549
105-32-10320, ,2323.066128,56.67065048,-133.7712708
